CustomerID,FirstName,LastName,Email,Phone,City,State,Region,BirthYear,Gender,JoinDate,CustomerSegment,LoyaltyTier,ShoppingProfile,IsActive
1,Ashley,Allen,ashley.allen.1@gmail.com,(212) 707-6233,Portland,OR,West,1986,Female,2024-04-10,Small Business,Silver,Regular,Yes
2,Matthew,Flores,matthew.flores.2@protonmail.com,(997) 839-5352,Denver,CO,West,2002,Male,2025-03-03,Consumer,Bronze,Occasional,No
3,David,Lewis,david.lewis.3@protonmail.com,(761) 709-7177,Charlotte,NC,South,1991,Male,2023-01-23,Consumer,Bronze,Occasional,Yes
4,Christina,Robinson,christina.robinson.4@gmail.com,(539) 948-8383,Dallas,TX,South,1950,Female,2025-11-20,Small Business,Gold,Regular,Yes
5,Susan,White,susan.white.5@gmail.com,(255) 747-4458,Phoenix,AZ,West,1949,Female,2025-06-09,Small Business,Bronze,Regular,Yes
6,Karen,Anderson,karen.anderson.6@gmail.com,(563) 781-8793,Dallas,TX,South,1961,Female,2025-07-02,Consumer,Bronze,Occasional,No
7,Karen,Wright,karen.wright.7@icloud.com,(666) 442-1916,Indianapolis,IN,Midwest,1970,Female,2024-05-02,Small Business,Bronze,Occasional,No
8,Richard,Torres,richard.torres.8@protonmail.com,(443) 343-6498,New York,NY,Northeast,1951,Male,2026-07-31,Enterprise,Bronze,Regular,Yes
9,Justin,Rodriguez,justin.rodriguez.9@outlook.com,(268) 943-6670,San Francisco,CA,West,2004,Male,2026-05-27,Consumer,Silver,Occasional,Yes
10,Lauren,Perez,lauren.perez.10@gmail.com,(276) 431-9437,San Francisco,CA,West,1955,Female,2024-08-26,Consumer,Bronze,Occasional,No
11,Thomas,Brown,thomas.brown.11@icloud.com,(699) 649-2824,San Diego,CA,West,1947,Male,2025-10-14,Consumer,Silver,Frequent,Yes
12,Jennifer,Lopez,jennifer.lopez.12@icloud.com,(724) 428-2695,Dallas,TX,South,1982,Female,2023-11-09,Small Business,Silver,Frequent,Yes
13,Karen,Lewis,karen.lewis.13@outlook.com,(844) 699-3505,Boston,MA,Northeast,1992,Female,2026-01-08,Consumer,Silver,Occasional,Yes
14,Jessica,Johnson,jessica.johnson.14@gmail.com,(517) 450-3536,Dallas,TX,South,1965,Female,2026-08-16,Consumer,Bronze,Regular,Yes
15,Lauren,Gonzalez,lauren.gonzalez.15@yahoo.com,(989) 421-5350,Houston,TX,South,1963,Female,2023-03-16,Consumer,Bronze,Frequent,Yes
16,Lisa,Sanchez,lisa.sanchez.16@yahoo.com,(783) 649-5764,Denver,CO,West,1987,Female,2023-05-31,Consumer,Bronze,Regular,Yes
17,Stephanie,Lopez,stephanie.lopez.17@icloud.com,(886) 854-5101,San Diego,CA,West,1977,Female,2024-03-26,Small Business,Bronze,VIP,Yes
18,Betty,Miller,betty.miller.18@yahoo.com,(617) 286-6747,Chicago,IL,Midwest,1947,Female,2025-01-03,Small Business,Bronze,Occasional,Yes
19,Richard,Garcia,richard.garcia.19@outlook.com,(786) 833-9507,Phoenix,AZ,West,1993,Male,2024-11-02,Consumer,Silver,Regular,Yes
